,id,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?,How do you feel regarding the caretaking and evolution of Clifton beach?
0,0,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi,Not often (few times in many years),I feel safe visiting the beach by myself at any time during the day,Negative,"Leisure (walking, being with loved ones, etc)"
1,1,25 - 44 years,Male,"175,000 - 200,000 rupees",Kemari,Not often - I prefer other beaches,I only visit the beach with company at any time during the day,Negative,"Leisure (walking, being with loved ones, etc)"
2,2,45 years and above,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,I only visit the beach with company at any time during the day,Negative,"Relief (from climate, from stresses, etc)"
3,3,25 - 44 years,Male,"200,001 and above",Outside Karachi,I have never been to Clifton beach,I only visit the beach with company and only before sunset,Negative,nan
4,4,45 years and above,Female,Prefer not to answer,Gulzar-e-Hijri,Not often (few times in many years),I only visit the beach with company at any time during the day,Negative,"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)"
5,5,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulberg,Not often (few times in many years),I only visit the beach with company and only before sunset,Positively,"Leisure (walking, being with loved ones, etc)"
6,6,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Often (multiple times in a year),I only visit the beach with company at any time during the day,Positively,"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)"
7,7,45 years and above,Male,"150,001 - 175,000 rupees",Gulzar-e-Hijri,Often (multiple times in a year),I only visit the beach with company and only before sunset,Negative,"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)"
8,8,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),I feel safe visiting the beach by myself at any time during the day,Negative,"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Commerce (for work, for shopping, for restaurants, etc)"
9,9,45 years and above,Female,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),I only visit the beach with company at any time during the day,Negative,"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Tourism"
10,10,25 - 44 years,Male,Prefer not to answer,Ferozabad,Often (multiple times in a year),I feel safe visiting the beach by myself at any time during the day,Negative,"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)"
11,11,25 - 44 years,Male,Prefer not to answer,North Nazimabad,Often (multiple times in a year),I only visit the beach with company and only before sunset,Negative,"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)"
12,12,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi,Not often (few times in many years),I feel safe visiting the beach by myself but only before sunset,Negative,"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)"
13,13,15 - 24 years,Male,"125,001 - 150,000 rupees",North Nazimabad,Not often (few times in many years),I only visit the beach with company at any time during the day,Negative,Most accessible (public beach closest to urban Karachi)
14,14,15 - 24 years,Male,Prefer not to answer,Civil Lines,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
15,15,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
16,15dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,,,,"Activity (exercising, sports, running, etc)"
17,15dupdup,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,,,,"Commerce (for work, for shopping, for restaurants, etc)"
18,16,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
19,17,15 - 24 years,Male,Prefer not to answer,Ferozabad,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
20,17dup,15 - 24 years,Male,Prefer not to answer,Ferozabad,,,,"Activity (exercising, sports, running, etc)"
21,18,25 - 44 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,Not often (few times in many years),,,"Activity (exercising, sports, running, etc)"
22,19,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
23,20,15 - 24 years,Male,"25,001 - 50,000 rupees",Clifton Cantonment,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
24,21,25 - 44 years,Male,"Up to 25,000 rupees",Clifton Cantonment,Often (multiple times in a year),,,"Activity (exercising, sports, running, etc)"
25,22,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
26,23,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
27,23dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,,,"Commerce (for work, for shopping, for restaurants, etc)"
28,24,45 years and above,Male,"150,001 - 175,000 rupees",Nazimabad,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
29,25,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
30,26,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
31,26dup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,,"Commerce (for work, for shopping, for restaurants, etc)"
32,26dupdup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
33,27,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
34,28,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
35,28dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
36,29,15 - 24 years,Female,Prefer not to answer,Jamshed Quarters,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
37,29dup,15 - 24 years,Female,Prefer not to answer,Jamshed Quarters,,,,"Activity (exercising, sports, running, etc)"
38,30,25 - 44 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
39,31,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
40,32,15 - 24 years,Male,Prefer not to answer,Baldia,Often (multiple times in a year),,,"Relief (from climate, from stresses, etc)"
41,33,15 - 24 years,Male,"Up to 25,000 rupees",Baldia,Frequently (multiple times a month),,,"Relief (from climate, from stresses, etc)"
42,34,25 - 44 years,Female,Prefer not to answer,Nazimabad,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
43,34dup,25 - 44 years,Female,Prefer not to answer,Nazimabad,,,,"Activity (exercising, sports, running, etc)"
44,35,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
45,36,25 - 44 years,Male,Prefer not to answer,Malir Cantonment,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
46,37,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
47,37dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,,"Activity (exercising, sports, running, etc)"
48,37dupdup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,,"Commerce (for work, for shopping, for restaurants, etc)"
49,38,15 - 24 years,Female,"25,001 - 50,000 rupees",Orangi,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)
"
50,39,15 - 24 years,Male,"25,001 - 50,000 rupees",Orangi,Often (multiple times in a year),,,"Activity (exercising, sports, running, etc)"
51,40,45 years and above,Male,"25,001 - 50,000 rupees",Garden,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
52,40dup,45 years and above,Male,"25,001 - 50,000 rupees",Garden,,,,"Activity (exercising, sports, running, etc)"
53,41,15 - 24 years,Male,Prefer not to answer,Saddar,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
54,42,45 years and above,Transgender,"Up to 25,000 rupees",Civil Lines,Not often (few times in many years),,,Most accessible (public beach closest to urban Karachi)
55,43,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
56,44,15 - 24 years,Male,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
57,45,Below 15 years,Female,Prefer not to answer,Civil Lines,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
58,46,15 - 24 years,Female,Prefer not to answer,Harbour,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
59,47,15 - 24 years,Male,"Up to 25,000 rupees",Gulshan-e-Iqbal,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
60,48,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
61,49,15 - 24 years,Female,Prefer not to answer,New Karachi Town,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
62,49dup,15 - 24 years,Female,Prefer not to answer,New Karachi Town,,,,"Activity (exercising, sports, running, etc)"
63,50,25 - 44 years,Female,Prefer not to answer,Garden,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
64,51,15 - 24 years,Male,"Up to 25,000 rupees",New Karachi Town,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
65,52,45 years and above,Male,Prefer not to answer,Liaquatabad,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
66,53,45 years and above,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
67,54,15 - 24 years,Male,Prefer not to answer,Malir Cantonment,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
68,55,45 years and above,Female,Prefer not to answer,New Karachi Town,Not often (few times in many years),,,Most accessible (public beach closest to urban Karachi)
69,56,15 - 24 years,Female,Prefer not to answer,Gulberg,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
