index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,What are your top motivations for going to Clifton Beach? You can select up to 3,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?
0,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1,25 - 44 years,Male,"175,000 - 200,000 rupees",Kemari,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
2,45 years and above,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,"Relief (from climate, from stresses, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
3,25 - 44 years,Male,"200,001 and above",Outside Karachi,I have never been to Clifton beach,,I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
4,45 years and above,Female,Prefer not to answer,Gulzar-e-Hijri,Not often (few times in many years),"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
5,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulberg,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
6,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
7,45 years and above,Male,"150,001 - 175,000 rupees",Gulzar-e-Hijri,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
8,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Commerce (for work, for shopping, for restaurants, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
9,45 years and above,Female,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Tourism",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
10,25 - 44 years,Male,Prefer not to answer,Ferozabad,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
11,25 - 44 years,Male,Prefer not to answer,North Nazimabad,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
12,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc), Most accessible (public beach closest to urban Karachi), Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
13,15 - 24 years,Male,"125,001 - 150,000 rupees",North Nazimabad,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
14,15 - 24 years,Male,Prefer not to answer,Civil Lines,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
15,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
15dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,,"Activity (exercising, sports, running, etc)",,
15dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,,"Commerce (for work, for shopping, for restaurants, etc)",,
16,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
17,15 - 24 years,Male,Prefer not to answer,Ferozabad,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
17dup,15 - 24 years,Male,Prefer not to answer,Ferozabad,,"Activity (exercising, sports, running, etc)",,
18,25 - 44 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,Not often (few times in many years),"Activity (exercising, sports, running, etc)",,
19,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
20,15 - 24 years,Male,"25,001 - 50,000 rupees",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
21,25 - 44 years,Male,"Up to 25,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Activity (exercising, sports, running, etc)",,
22,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
23,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
23dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
24,45 years and above,Male,"150,001 - 175,000 rupees",Nazimabad,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
25,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
26,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
26dup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,"Commerce (for work, for shopping, for restaurants, etc)",,
26dup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,"Activity (exercising, sports, running, etc)",,
27,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
28,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
28dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,"Activity (exercising, sports, running, etc)",,
29,15 - 24 years,Female,Prefer not to answer,Jamshed Quarters,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
29dup,15 - 24 years,Female,Prefer not to answer,Jamshed Quarters,,"Activity (exercising, sports, running, etc)",,
30,25 - 44 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",,
31,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
32,15 - 24 years,Male,Prefer not to answer,Baldia,Often (multiple times in a year),"Relief (from climate, from stresses, etc)",,
33,15 - 24 years,Male,"Up to 25,000 rupees",Baldia,Frequently (multiple times a month),"Relief (from climate, from stresses, etc)",,
34,25 - 44 years,Female,Prefer not to answer,Nazimabad,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",,
34dup,25 - 44 years,Female,Prefer not to answer,Nazimabad,,"Activity (exercising, sports, running, etc)",,
35,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
36,25 - 44 years,Male,Prefer not to answer,Malir Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
37,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
37dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,"Activity (exercising, sports, running, etc)",,
37dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,"Commerce (for work, for shopping, for restaurants, etc)",,
38,15 - 24 years,Female,"25,001 - 50,000 rupees",Orangi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)
",,
39,15 - 24 years,Male,"25,001 - 50,000 rupees",Orangi,Often (multiple times in a year),"Activity (exercising, sports, running, etc)",,
40,45 years and above,Male,"25,001 - 50,000 rupees",Garden,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
40dup,45 years and above,Male,"25,001 - 50,000 rupees",Garden,,"Activity (exercising, sports, running, etc)",,
41,15 - 24 years,Male,Prefer not to answer,Saddar,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",,
42,45 years and above,Transgender,"Up to 25,000 rupees",Civil Lines,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),,
